file_path	file_role	accession	assembly_code	annotation_code	sample_code	dataset_code	md5
/home/labuser/rdcheng/gd/manual_files/annotation.Qianchonglang2.gff	annotation	Qianchonglang2	ASM_Qianchonglang2	ANN_Qianchonglang2			
/home/labuser/rdcheng/gd/manual_files/annotation.Qingke.gff	annotation	Qingke	ASM_Qingke	ANN_Qingke			
/home/labuser/rdcheng/gd/manual_files/annotation.Qingnuo Kyohatamochi.gff	annotation	Qingnuo Kyohatamochi	ASM_Qingnuo Kyohatamochi	ANN_Qingnuo Kyohatamochi			
/home/labuser/rdcheng/gd/manual_files/annotation.Qingsiai 16B.gff	annotation	Qingsiai 16B	ASM_Qingsiai 16B	ANN_Qingsiai 16B			
/home/labuser/rdcheng/gd/manual_files/annotation.Qitoubaigu3.gff	annotation	Qitoubaigu3	ASM_Qitoubaigu3	ANN_Qitoubaigu3			
/home/labuser/rdcheng/gd/manual_files/annotation.Qitougu.gff	annotation	Qitougu	ASM_Qitougu	ANN_Qitougu			
/home/labuser/rdcheng/gd/manual_files/annotation.Qiuqianbai.gff	annotation	Qiuqianbai	ASM_Qiuqianbai	ANN_Qiuqianbai			
/home/labuser/rdcheng/gd/manual_files/annotation.Qiutianxiaoting.gff	annotation	Qiutianxiaoting	ASM_Qiutianxiaoting	ANN_Qiutianxiaoting			
/home/labuser/rdcheng/gd/manual_files/annotation.R42.gff	annotation	R42	ASM_R42	ANN_R42			
/home/labuser/rdcheng/gd/manual_files/annotation.R498.IGDBv1.Allset.gff	annotation	R498	ASM_R498	ANN_R498_IGDBv1_Allset			
/home/labuser/rdcheng/gd/manual_files/annotation.RD23.gff	annotation	RD23	ASM_RD23	ANN_RD23			
/home/labuser/rdcheng/gd/manual_files/annotation.Rohini.gff	annotation	Rohini	ASM_Rohini	ANN_Rohini			
/home/labuser/rdcheng/gd/manual_files/annotation.RP 1570-44-1.gff	annotation	RP 1570-44-1	ASM_RP 1570-44-1	ANN_RP 1570-44-1			
/home/labuser/rdcheng/gd/manual_files/annotation.RY2.gff	annotation	RY2	ASM_RY2	ANN_RY2			
/home/labuser/rdcheng/gd/manual_files/annotation.Sanbaili.gff	annotation	Sanbaili	ASM_Sanbaili	ANN_Sanbaili			
/home/labuser/rdcheng/gd/manual_files/annotation.SanQishiluo.gff	annotation	SanQishiluo	ASM_SanQishiluo	ANN_SanQishiluo			
/home/labuser/rdcheng/gd/manual_files/annotation.Sansuijin.gff	annotation	Sansuijin	ASM_Sansuijin	ANN_Sansuijin			
/home/labuser/rdcheng/gd/manual_files/annotation.Seln 244A6-20.gff	annotation	Seln 244A6-20	ASM_Seln 244A6-20	ANN_Seln 244A6-20			
/home/labuser/rdcheng/gd/manual_files/annotation.Shufeng 101.gff	annotation	Shufeng 101	ASM_Shufeng 101	ANN_Shufeng 101			
/home/labuser/rdcheng/gd/manual_files/annotation.SLK 2-18-2.gff	annotation	SLK 2-18-2	ASM_SLK 2-18-2	ANN_SLK 2-18-2			
/home/labuser/rdcheng/gd/manual_files/annotation.Sri Lanka 1.gff	annotation	Sri Lanka 1	ASM_Sri Lanka 1	ANN_Sri Lanka 1			
/home/labuser/rdcheng/gd/manual_files/annotation.Taidongludao.gff	annotation	Taidongludao	ASM_Taidongludao	ANN_Taidongludao			
/home/labuser/rdcheng/gd/manual_files/annotation.Taishannuo.gff	annotation	Taishannuo	ASM_Taishannuo	ANN_Taishannuo			
/home/labuser/rdcheng/gd/manual_files/annotation.Taizhongzailai 1.gff	annotation	Taizhongzailai 1	ASM_Taizhongzailai 1	ANN_Taizhongzailai 1			
/home/labuser/rdcheng/gd/manual_files/annotation.Teqingxuanhui.gff	annotation	Teqingxuanhui	ASM_Teqingxuanhui	ANN_Teqingxuanhui			
/home/labuser/rdcheng/gd/manual_files/annotation.Tetep.gff	annotation	Tetep	ASM_Tetep	ANN_Tetep			
/home/labuser/rdcheng/gd/manual_files/annotation.Tjantajan.gff	annotation	Tjantajan	ASM_Tjantajan	ANN_Tjantajan			
/home/labuser/rdcheng/gd/manual_files/annotation.TN1.gff	annotation	TN1	ASM_TN1	ANN_TN1			
/home/labuser/rdcheng/gd/manual_files/annotation.TQ.gff	annotation	TQ	ASM_TQ	ANN_TQ			
/home/labuser/rdcheng/gd/manual_files/annotation.Vietnam Zaodao.gff	annotation	Vietnam Zaodao	ASM_Vietnam Zaodao	ANN_Vietnam Zaodao			
/home/labuser/rdcheng/gd/manual_files/annotation.W1411.gff	annotation	W1411	ASM_W1411	ANN_W1411			
/home/labuser/rdcheng/gd/manual_files/annotation.W2014.gff	annotation	W2014	ASM_W2014	ANN_W2014			
