assembly_code	accession	assembly_accession	assembly_name	species_code	assembly_level	biosample_accession	assembly_type	assembly_method	sequencing_technology	genome_size	chromosome_count	contig_count	n50	gc_content	reference	source_database	external_project	file_name	file_type	description
ASM_CW02	CW02		CW02 genome assembly	ORYZA_SATIVA														genome.CW02.fasta	FASTA	
ASM_CW03	CW03		CW03 genome assembly	ORYZA_SATIVA														genome.CW03.fasta	FASTA	
ASM_CW05	CW05		CW05 genome assembly	ORYZA_SATIVA														genome.CW05.fasta	FASTA	
ASM_CW06	CW06		CW06 genome assembly	ORYZA_SATIVA														genome.CW06.fasta	FASTA	
ASM_CW07	CW07		CW07 genome assembly	ORYZA_SATIVA														genome.CW07.fasta	FASTA	
ASM_CW08	CW08		CW08 genome assembly	ORYZA_SATIVA														genome.CW08.fasta	FASTA	
ASM_CW09	CW09		CW09 genome assembly	ORYZA_SATIVA														genome.CW09.fasta	FASTA	
ASM_CW10	CW10		CW10 genome assembly	ORYZA_SATIVA														genome.CW10.fasta	FASTA	
ASM_CW11	CW11		CW11 genome assembly	ORYZA_SATIVA														genome.CW11.fasta	FASTA	
ASM_CW12	CW12		CW12 genome assembly	ORYZA_SATIVA														genome.CW12.fasta	FASTA	
ASM_CW13	CW13		CW13 genome assembly	ORYZA_SATIVA														genome.CW13.fasta	FASTA	
ASM_CW14	CW14		CW14 genome assembly	ORYZA_SATIVA														genome.CW14.fasta	FASTA	
ASM_CW15	CW15		CW15 genome assembly	ORYZA_SATIVA														genome.CW15.fasta	FASTA	
ASM_CW16	CW16		CW16 genome assembly	ORYZA_SATIVA														genome.CW16.fasta	FASTA	
ASM_CW17	CW17		CW17 genome assembly	ORYZA_SATIVA														genome.CW17.fasta	FASTA	
ASM_CW18	CW18		CW18 genome assembly	ORYZA_SATIVA														genome.CW18.fasta	FASTA	
ASM_CW19	CW19		CW19 genome assembly	ORYZA_SATIVA														genome.CW19.fasta	FASTA	
ASM_CW21	CW21		CW21 genome assembly	ORYZA_SATIVA														genome.CW21.fasta	FASTA	
ASM_CW22	CW22		CW22 genome assembly	ORYZA_SATIVA														genome.CW22.fasta	FASTA	
ASM_CW23	CW23		CW23 genome assembly	ORYZA_SATIVA														genome.CW23.fasta	FASTA	
ASM_CW31	CW31		CW31 genome assembly	ORYZA_SATIVA														genome.CW31.fasta	FASTA	
ASM_CW32	CW32		CW32 genome assembly	ORYZA_SATIVA														genome.CW32.fasta	FASTA	
ASM_CW33	CW33		CW33 genome assembly	ORYZA_SATIVA														genome.CW33.fasta	FASTA	
ASM_CW34	CW34		CW34 genome assembly	ORYZA_SATIVA														genome.CW34.fasta	FASTA	
ASM_CW35	CW35		CW35 genome assembly	ORYZA_SATIVA														genome.CW35.fasta	FASTA	
ASM_CW36	CW36		CW36 genome assembly	ORYZA_SATIVA														genome.CW36.fasta	FASTA	
ASM_CW37	CW37		CW37 genome assembly	ORYZA_SATIVA														genome.CW37.fasta	FASTA	
ASM_CX20	CX20		CX20 genome assembly	ORYZA_SATIVA														genome.CX20.fasta	FASTA	
ASM_CX3	CX3		CX3 genome assembly	ORYZA_SATIVA														genome.CX3.fasta	FASTA	
ASM_D62	D62		D62 genome assembly	ORYZA_SATIVA														genome.D62.fasta	FASTA	
ASM_Dandongludao	Dandongludao		Dandongludao genome assembly	ORYZA_SATIVA														genome.Dandongludao.fasta	FASTA	
ASM_Dangyu 5	Dangyu 5		Dangyu 5 genome assembly	ORYZA_SATIVA														genome.Dangyu 5.fasta	FASTA	
ASM_DG	DG		DG genome assembly	ORYZA_SATIVA														genome.DG.fasta	FASTA	
ASM_DGB	DGB		DGB genome assembly	ORYZA_SATIVA														genome.DGB.fasta	FASTA	
ASM_DHX2	DHX2		DHX2 genome assembly	ORYZA_SATIVA														genome.DHX2.fasta	FASTA	
ASM_Dianrui 409B	Dianrui 409B		Dianrui 409B genome assembly	ORYZA_SATIVA														genome.Dianrui 409B.fasta	FASTA	
ASM_Djanda Mandja	Djanda Mandja		Djanda Mandja genome assembly	ORYZA_SATIVA														genome.Djanda Mandja.fasta	FASTA	
ASM_DomSufid	DomSufid		DomSufid genome assembly	ORYZA_SATIVA														genome.DomSufid.fasta	FASTA	
ASM_Dongtingwanxian	Dongtingwanxian		Dongtingwanxian genome assembly	ORYZA_SATIVA														genome.Dongtingwanxian.fasta	FASTA	
ASM_DR1	DR1		DR1 genome assembly	ORYZA_SATIVA														genome.DR1.fasta	FASTA	
ASM_DR11	DR11		DR11 genome assembly	ORYZA_SATIVA														genome.DR11.fasta	FASTA	
ASM_DR12	DR12		DR12 genome assembly	ORYZA_SATIVA														genome.DR12.fasta	FASTA	
ASM_DR13	DR13		DR13 genome assembly	ORYZA_SATIVA														genome.DR13.fasta	FASTA	
ASM_DR14	DR14		DR14 genome assembly	ORYZA_SATIVA														genome.DR14.fasta	FASTA	
ASM_DR15	DR15		DR15 genome assembly	ORYZA_SATIVA														genome.DR15.fasta	FASTA	
ASM_DR16	DR16		DR16 genome assembly	ORYZA_SATIVA														genome.DR16.fasta	FASTA	
ASM_DR17	DR17		DR17 genome assembly	ORYZA_SATIVA														genome.DR17.fasta	FASTA	
ASM_DR18	DR18		DR18 genome assembly	ORYZA_SATIVA														genome.DR18.fasta	FASTA	
ASM_DR2	DR2		DR2 genome assembly	ORYZA_SATIVA														genome.DR2.fasta	FASTA	
ASM_DR20	DR20		DR20 genome assembly	ORYZA_SATIVA														genome.DR20.fasta	FASTA	
ASM_DR3	DR3		DR3 genome assembly	ORYZA_SATIVA														genome.DR3.fasta	FASTA	
ASM_DR4	DR4		DR4 genome assembly	ORYZA_SATIVA														genome.DR4.fasta	FASTA	
ASM_DR5	DR5		DR5 genome assembly	ORYZA_SATIVA														genome.DR5.fasta	FASTA	
ASM_DR6	DR6		DR6 genome assembly	ORYZA_SATIVA														genome.DR6.fasta	FASTA	
ASM_DR7	DR7		DR7 genome assembly	ORYZA_SATIVA														genome.DR7.fasta	FASTA	
ASM_DR8	DR8		DR8 genome assembly	ORYZA_SATIVA														genome.DR8.fasta	FASTA	
ASM_DR9	DR9		DR9 genome assembly	ORYZA_SATIVA														genome.DR9.fasta	FASTA	
ASM_Dular	Dular		Dular genome assembly	ORYZA_SATIVA														genome.Dular.fasta	FASTA	
ASM_Dumai	Dumai		Dumai genome assembly	ORYZA_SATIVA														genome.Dumai.fasta	FASTA	
ASM_DXCWR	DXCWR		DXCWR genome assembly	ORYZA_SATIVA														genome.DXCWR.fasta	FASTA	
ASM_ECIA 179-S13	ECIA 179-S13		ECIA 179-S13 genome assembly	ORYZA_SATIVA														genome.ECIA 179-S13.fasta	FASTA	
ASM_Esiniu	Esiniu		Esiniu genome assembly	ORYZA_SATIVA														genome.Esiniu.fasta	FASTA	
ASM_Fanhaopi	Fanhaopi		Fanhaopi genome assembly	ORYZA_SATIVA														genome.Fanhaopi.fasta	FASTA	
