assembly_code	accession	assembly_accession	assembly_name	species_code	scientific_name	assembly_level	reference	source_database	external_project	file_name	file_type	description
ASM_W1919_PRJEB73710	W1919		W1919 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1919.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1943_PRJEB73710	W1943		W1943 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1943.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1970_PRJEB73710	W1970		W1970 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1970.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1976_PRJEB73710	W1976		W1976 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1976.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2005_PRJEB73710	W2005		W2005 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2005.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2022_PRJEB73710	W2022		W2022 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2022.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2036_PRJEB73710	W2036		W2036 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2036.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2051_PRJEB73710	W2051		W2051 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2051.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2053_PRJEB73710	W2053		W2053 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2053.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2064_PRJEB73710	W2064		W2064 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2064.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2066_PRJEB73710	W2066		W2066 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2066.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2099_PRJEB73710	W2099		W2099 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2099.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2108_PRJEB73710	W2108		W2108 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2108.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2197_PRJEB73710	W2197		W2197 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2197.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2267_PRJEB73710	W2267		W2267 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2267.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2275_PRJEB73710	W2275		W2275 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2275.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2283_PRJEB73710	W2283		W2283 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2283.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2305_PRJEB73710	W2305		W2305 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2305.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2308_PRJEB73710	W2308		W2308 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2308.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2310_PRJEB73710	W2310		W2310 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2310.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2311_PRJEB73710	W2311		W2311 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2311.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2318_PRJEB73710	W2318		W2318 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2318.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2319_PRJEB73710	W2319		W2319 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2319.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2320_PRJEB73710	W2320		W2320 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2320.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2321_PRJEB73710	W2321		W2321 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2321.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W2332_PRJEB73710	W2332		W2332 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W2332.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3000_PRJEB73710	W3000		W3000 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3000.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3007_PRJEB73710	W3007		W3007 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3007.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3009_PRJEB73710	W3009		W3009 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3009.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3012_PRJEB73710	W3012		W3012 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3012.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3029_PRJEB73710	W3029		W3029 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3029.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3033_PRJEB73710	W3033		W3033 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3033.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3035_PRJEB73710	W3035		W3035 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3035.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3037_PRJEB73710	W3037		W3037 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3037.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3038_PRJEB73710	W3038		W3038 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3038.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
