accession	project_code	project_name	dataset_code	dataset_name	dataset_type	ncbi_bioproject	ncbi_sra	external_url	description	run_count	experiment_count	ena_study	biosample_count	run_accessions	experiment_accessions	external_database
W2308	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2308_RNASEQ	W2308 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336288;ERR13336419;ERR13336565;ERR13336712	ERX12707254;ERX12707385;ERX12707531;ERX12707678	ENA
W2308	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2308_WGS	W2308 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336158;ERR13765456	ERX12707124;ERX13166628	ENA
W2310	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2310_RNASEQ	W2310 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336289;ERR13336420;ERR13336566;ERR13336713	ERX12707255;ERX12707386;ERX12707532;ERX12707679	ENA
W2310	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2310_WGS	W2310 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336159;ERR13765457	ERX12707125;ERX13166629	ENA
W2311	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2311_RNASEQ	W2311 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=3; experiments=3; biosamples=1	3	3	ERP158450	1	ERR13336421;ERR13336567;ERR13336714	ERX12707387;ERX12707533;ERX12707680	ENA
W2311	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2311_WGS	W2311 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336160;ERR13765458	ERX12707126;ERX13166630	ENA
W2318	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2318_HIC	W2318 Hi-C	hic	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=Hi-C; runs=1; experiments=1; biosamples=1	1	1	ERP158450	1	ERR13765528	ERX13166700	ENA
W2318	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2318_RNASEQ	W2318 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336290;ERR13336422;ERR13336568;ERR13336715	ERX12707256;ERX12707388;ERX12707534;ERX12707681	ENA
W2318	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2318_WGS	W2318 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336161;ERR13765459	ERX12707127;ERX13166631	ENA
W2319	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2319_RNASEQ	W2319 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336291;ERR13336423;ERR13336569;ERR13336716	ERX12707257;ERX12707389;ERX12707535;ERX12707682	ENA
