annotation_code	accession	assembly_code	annotation_name	annotation_version	species_code	scientific_name	source_database	external_project	file_name	file_type	description
ANN_W1735_PRJEB73710	W1735	ASM_W1735_PRJEB73710	W1735 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1735.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1736_PRJEB73710	W1736	ASM_W1736_PRJEB73710	W1736 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1736.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1737_PRJEB73710	W1737	ASM_W1737_PRJEB73710	W1737 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1737.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1742_PRJEB73710	W1742	ASM_W1742_PRJEB73710	W1742 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1742.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1748_PRJEB73710	W1748	ASM_W1748_PRJEB73710	W1748 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1748.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1750_PRJEB73710	W1750	ASM_W1750_PRJEB73710	W1750 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1750.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1777_PRJEB73710	W1777	ASM_W1777_PRJEB73710	W1777 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1777.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1783_PRJEB73710	W1783	ASM_W1783_PRJEB73710	W1783 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1783.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1787_PRJEB73710	W1787	ASM_W1787_PRJEB73710	W1787 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1787.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1809_PRJEB73710	W1809	ASM_W1809_PRJEB73710	W1809 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1809.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1810_PRJEB73710	W1810	ASM_W1810_PRJEB73710	W1810 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1810.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1825_PRJEB73710	W1825	ASM_W1825_PRJEB73710	W1825 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1825.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1839_PRJEB73710	W1839	ASM_W1839_PRJEB73710	W1839 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1839.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1859_PRJEB73710	W1859	ASM_W1859_PRJEB73710	W1859 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1859.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1865_PRJEB73710	W1865	ASM_W1865_PRJEB73710	W1865 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1865.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1880_PRJEB73710	W1880	ASM_W1880_PRJEB73710	W1880 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1880.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1890_PRJEB73710	W1890	ASM_W1890_PRJEB73710	W1890 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1890.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1895_PRJEB73710	W1895	ASM_W1895_PRJEB73710	W1895 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1895.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1919_PRJEB73710	W1919	ASM_W1919_PRJEB73710	W1919 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1919.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1943_PRJEB73710	W1943	ASM_W1943_PRJEB73710	W1943 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1943.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1970_PRJEB73710	W1970	ASM_W1970_PRJEB73710	W1970 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1970.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1976_PRJEB73710	W1976	ASM_W1976_PRJEB73710	W1976 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1976.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2005_PRJEB73710	W2005	ASM_W2005_PRJEB73710	W2005 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2005.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2022_PRJEB73710	W2022	ASM_W2022_PRJEB73710	W2022 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2022.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2036_PRJEB73710	W2036	ASM_W2036_PRJEB73710	W2036 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2036.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2051_PRJEB73710	W2051	ASM_W2051_PRJEB73710	W2051 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2051.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2053_PRJEB73710	W2053	ASM_W2053_PRJEB73710	W2053 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2053.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2064_PRJEB73710	W2064	ASM_W2064_PRJEB73710	W2064 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2064.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2066_PRJEB73710	W2066	ASM_W2066_PRJEB73710	W2066 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2066.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2099_PRJEB73710	W2099	ASM_W2099_PRJEB73710	W2099 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2099.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2108_PRJEB73710	W2108	ASM_W2108_PRJEB73710	W2108 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2108.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2197_PRJEB73710	W2197	ASM_W2197_PRJEB73710	W2197 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2197.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2267_PRJEB73710	W2267	ASM_W2267_PRJEB73710	W2267 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2267.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2275_PRJEB73710	W2275	ASM_W2275_PRJEB73710	W2275 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2275.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2283_PRJEB73710	W2283	ASM_W2283_PRJEB73710	W2283 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2283.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2305_PRJEB73710	W2305	ASM_W2305_PRJEB73710	W2305 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2305.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2308_PRJEB73710	W2308	ASM_W2308_PRJEB73710	W2308 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2308.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2310_PRJEB73710	W2310	ASM_W2310_PRJEB73710	W2310 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2310.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2311_PRJEB73710	W2311	ASM_W2311_PRJEB73710	W2311 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2311.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W2318_PRJEB73710	W2318	ASM_W2318_PRJEB73710	W2318 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W2318.gff	GFF	Genome annotation associated with rice pangenome assembly
