source_accession_code	accession_code	sample_code	species_code	raw_data_type	sequencing_platform	file_role	cluster_name	file_path	file_size	md5	check_status	remark
GWX30(赣皖籼30)	GWX30		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/GWX30-R_FRAS202339858-1r_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 4.9GB
33S	33S		ORYZA_SATIVA	WGS		wgs_reads		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/Oryza_sativa_1P.fastq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 17.9GB
33S	33S		ORYZA_SATIVA	WGS		wgs_reads		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/Oryza_sativa_2P.fastq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 17.9GB
66S	66S		ORYZA_SATIVA	WGS		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/V300034584_L03_102_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 22GB
66S	66S		ORYZA_SATIVA	WGS		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/V300034584_L03_102_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 22GB
17S	17S		ORYZA_SATIVA	WGS		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/5quan_clean_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 10.7GB
17S	17S		ORYZA_SATIVA	WGS		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/5quan_clean_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 10.7GB
201B	201B		ORYZA_SATIVA	WGS		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/B201B_L3_153153.R1.fastq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 23GB
201B	201B		ORYZA_SATIVA	WGS		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/B201B_L3_153153.R2.fastq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 23GB
P64S（培矮64）	P64S		ORYZA_SATIVA	WGS		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/4quan_clean_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 10.6GB
P64S（培矮64）	P64S		ORYZA_SATIVA	WGS		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/4quan_clean_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 10.6GB
Y4B（岳4B）	Y4B		ORYZA_SATIVA	WGS		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/7quan_clean_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 10.3GB
Y4B（岳4B）	Y4B		ORYZA_SATIVA	WGS		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/7quan_clean_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 10.3GB
923（923选）	923		ORYZA_SATIVA	WGS		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/B923_L3_154154.R1.fastq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 23GB
923（923选）	923		ORYZA_SATIVA	WGS		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/B923_L3_154154.R2.fastq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 23GB
GWX30(赣皖籼30)	GWX30		ORYZA_SATIVA	WGS		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/GWX30_L3_155155.R1.fastq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 25GB
GWX30(赣皖籼30)	GWX30		ORYZA_SATIVA	WGS		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/GWX30_L3_155155.R2.fastq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 25GB
