annotation_code	accession	assembly_code	annotation_name	annotation_version	is_default	species_code	source_database	source_name	external_project	file_name	file_type	description
ANN_Chengduai 3	Chengduai 3	ASM_Chengduai 3	Chengduai 3 annotation		true	ORYZA_SATIVA				annotation.Chengduai 3.gff	GFF	
ANN_Chengnongshuijing	Chengnongshuijing	ASM_Chengnongshuijing	Chengnongshuijing annotation		true	ORYZA_SATIVA				annotation.Chengnongshuijing.gff	GFF	
ANN_Chenwan 3	Chenwan 3	ASM_Chenwan 3	Chenwan 3 annotation		true	ORYZA_SATIVA				annotation.Chenwan 3.gff	GFF	
ANN_Chimao	Chimao	ASM_Chimao	Chimao annotation		true	ORYZA_SATIVA				annotation.Chimao.gff	GFF	
ANN_CISOKAN	CISOKAN	ASM_CISOKAN	CISOKAN annotation		true	ORYZA_SATIVA				annotation.CISOKAN.gff	GFF	
ANN_CJS	CJS	ASM_CJS	CJS annotation		true	ORYZA_SATIVA				annotation.CJS.gff	GFF	
ANN_CN1	CN1	ASM_CN1	CN1 annotation		true	ORYZA_SATIVA				annotation.CN1.gff	GFF	
ANN_CO 22	CO 22	ASM_CO 22	CO 22 annotation		true	ORYZA_SATIVA				annotation.CO 22.gff	GFF	
ANN_Cungunuo	Cungunuo	ASM_Cungunuo	Cungunuo annotation		true	ORYZA_SATIVA				annotation.Cungunuo.gff	GFF	
ANN_Cunsanli	Cunsanli	ASM_Cunsanli	Cunsanli annotation		true	ORYZA_SATIVA				annotation.Cunsanli.gff	GFF	
ANN_CW01	CW01	ASM_CW01	CW01 annotation		true	ORYZA_SATIVA				annotation.CW01.gff	GFF	
ANN_CW02	CW02	ASM_CW02	CW02 annotation		true	ORYZA_SATIVA				annotation.CW02.gff	GFF	
ANN_CW03	CW03	ASM_CW03	CW03 annotation		true	ORYZA_SATIVA				annotation.CW03.gff	GFF	
ANN_CW05	CW05	ASM_CW05	CW05 annotation		true	ORYZA_SATIVA				annotation.CW05.gff	GFF	
ANN_CW06	CW06	ASM_CW06	CW06 annotation		true	ORYZA_SATIVA				annotation.CW06.gff	GFF	
ANN_CW07	CW07	ASM_CW07	CW07 annotation		true	ORYZA_SATIVA				annotation.CW07.gff	GFF	
ANN_CW08	CW08	ASM_CW08	CW08 annotation		true	ORYZA_SATIVA				annotation.CW08.gff	GFF	
ANN_CW09	CW09	ASM_CW09	CW09 annotation		true	ORYZA_SATIVA				annotation.CW09.gff	GFF	
ANN_CW10	CW10	ASM_CW10	CW10 annotation		true	ORYZA_SATIVA				annotation.CW10.gff	GFF	
ANN_CW11	CW11	ASM_CW11	CW11 annotation		true	ORYZA_SATIVA				annotation.CW11.gff	GFF	
ANN_CW12	CW12	ASM_CW12	CW12 annotation		true	ORYZA_SATIVA				annotation.CW12.gff	GFF	
ANN_CW13	CW13	ASM_CW13	CW13 annotation		true	ORYZA_SATIVA				annotation.CW13.gff	GFF	
ANN_CW14	CW14	ASM_CW14	CW14 annotation		true	ORYZA_SATIVA				annotation.CW14.gff	GFF	
ANN_CW15	CW15	ASM_CW15	CW15 annotation		true	ORYZA_SATIVA				annotation.CW15.gff	GFF	
ANN_CW16	CW16	ASM_CW16	CW16 annotation		true	ORYZA_SATIVA				annotation.CW16.gff	GFF	
ANN_CW17	CW17	ASM_CW17	CW17 annotation		true	ORYZA_SATIVA				annotation.CW17.gff	GFF	
ANN_CW18	CW18	ASM_CW18	CW18 annotation		true	ORYZA_SATIVA				annotation.CW18.gff	GFF	
ANN_CW19	CW19	ASM_CW19	CW19 annotation		true	ORYZA_SATIVA				annotation.CW19.gff	GFF	
ANN_CW21	CW21	ASM_CW21	CW21 annotation		true	ORYZA_SATIVA				annotation.CW21.gff	GFF	
ANN_CW22	CW22	ASM_CW22	CW22 annotation		true	ORYZA_SATIVA				annotation.CW22.gff	GFF	
ANN_CW23	CW23	ASM_CW23	CW23 annotation		true	ORYZA_SATIVA				annotation.CW23.gff	GFF	
